Name,Year,Rating,Genres,Actors,Plot,Poster_Path,Category,Source_URL
Harry Potter and the Order of the Phoenix,2007,79 / 100,"Fantasy, Adventure","David Yates, Michael Goldenberg, Daniel Radcliffe, Rupert Grint, Emma Watson, Imelda Staunton, Helena Bonham Carter, Robbie Coltrane","Returning for his fifth year at Hogwarts, Harry is stunned to find that his warnings about the return of Lord Voldemort have been ignored. Left with no choice, Harry takes matters into his own hands, training a small group of motivated students to defend themselves against the Dark Arts.",posters/Harry_Potter_and_the_Order_of_the_Phoenix_2007.jpg,Movie,https://www.cinematerial.com/movies/harry-potter-and-the-order-of-the-phoenix-i373889
Spider-Man,2002,,"Science Fiction, Action","Sam Raimi, David Koepp, Tobey Maguire, Willem Dafoe, Kirsten Dunst, James Franco, Cliff Robertson, Rosemary Harris","After being bitten by a genetically altered spider at Oscorp, nerdy but endearing high school student Peter Parker is endowed with amazing powers to become the superhero known as Spider-Man.",posters/Spider-Man_2002.jpg,Movie,https://www.cinematerial.com/movies/spider-man-i145487
Kill Bill: Vol. 1,2003,85 / 100,"Action, Crime","Quentin Tarantino, Quentin Tarantino, Uma Thurman, Lucy Liu, Vivica A. Fox, Daryl Hannah, David Carradine, Michael Madsen","An assassin is shot by her ruthless employer, Bill, and other members of their assassination circle – but she lives to plot her vengeance.",posters/Kill_Bill_Vol._1_2003.jpg,Movie,https://www.cinematerial.com/movies/kill-bill-vol-1-i266697
X-Men: Days of Future Past,2014,91 / 100,"Science Fiction, Action, Adventure","Bryan Singer, Simon Kinberg, Hugh Jackman, James McAvoy, Michael Fassbender, Patrick Stewart, Ian McKellen, Jennifer Lawrence",The ultimate X-Men ensemble fights a war for the survival of the species across two time periods as they join forces with their younger selves in an epic battle that must change the past – to save our future.,posters/X-Men_Days_of_Future_Past_2014.jpg,Movie,https://www.cinematerial.com/movies/x-men-days-of-future-past-i1877832
The Shining,1980,89 / 100,"Thriller, Horror","Stanley Kubrick, Stanley Kubrick, Diane Johnson, Jack Nicholson, Shelley Duvall, Danny Lloyd, Scatman Crothers, Barry Nelson, Philip Stone","Jack Torrance accepts a caretaker job at the Overlook Hotel, where he, along with his wife Wendy and their son Danny, must live isolated from the rest of the world for the winter. But they aren't prepared for the madness that lurks within.",posters/The_Shining_1980.jpg,Movie,https://www.cinematerial.com/movies/the-shining-i81505
Blade Runner 2049,2017,,"Science Fiction, Drama","Denis Villeneuve, Hampton Fancher, Michael Green, Ryan Gosling, Harrison Ford, Ana de Armas, Dave Bautista, Robin Wright, Sylvia Hoeks","Thirty years after the events of the first film, a new blade runner, LAPD Officer K, unearths a long-buried secret that has the potential to plunge what's left of society into chaos. K's discovery leads him on a quest to find Rick Deckard, a former LAPD blade runner who has been missing for 30 years.",posters/Blade_Runner_2049_2017.jpg,Movie,https://www.cinematerial.com/movies/blade-runner-2049-i1856101
Spider-Man: Across the Spider-Verse,2023,,"Science Fiction, Action, Adventure","Joaquim Dos Santos, Phil Lord, Christopher Miller, Shameik Moore, Hailee Steinfeld, Brian Tyree Henry, Luna Lauren Vélez, Jake Johnson, Oscar Isaac","After reuniting with Gwen Stacy, Brooklyn’s full-time, friendly neighborhood Spider-Man is catapulted across the Multiverse, where he encounters the Spider Society, a team of Spider-People charged with protecting the Multiverse's very existence. But when the heroes clash on how to handle a new threat, Miles finds himself pitted against the other Spiders and must set out on his own to save those he loves most.",posters/Spider-Man_Across_the_Spider-Verse_2023.jpg,Movie,https://www.cinematerial.com/movies/spider-man-across-the-spider-verse-i9362722
Top Gun: Maverick,2022,,"Drama, Action","Joseph Kosinski, Christopher McQuarrie, Ehren Kruger, Tom Cruise, Val Kilmer, Miles Teller, Jennifer Connelly, Bashir Salahuddin, Jon Hamm","After more than thirty years of service as one of the Navy’s top aviators, and dodging the advancement in rank that would ground him, Pete “Maverick” Mitchell finds himself training a detachment of TOP GUN graduates for a specialized mission the likes of which no living pilot has ever seen.",posters/Top_Gun_Maverick_2022.jpg,Movie,https://www.cinematerial.com/movies/top-gun-maverick-i1745960
Mad Max: Fury Road,2015,97 / 100,"Science Fiction, Action, Adventure","George Miller, George Miller, Nico Lathouris, Brendan McCarthy, Tom Hardy, Charlize Theron, Nicholas Hoult, Hugh Keays-Byrne, Josh Helman, Nathan Jones","An apocalyptic story set in the furthest reaches of our planet, in a stark desert landscape where humanity is broken, and most everyone is crazed fighting for the necessities of life. Within this world exist two rebels on the run who just might be able to restore order.",posters/Mad_Max_Fury_Road_2015.jpg,Movie,https://www.cinematerial.com/movies/mad-max-fury-road-i1392190
Taxi Driver,1976,99 / 100,"Drama, Crime","Martin Scorsese, Paul Schrader, Robert De Niro, Jodie Foster, Cybill Shepherd, Harvey Keitel, Peter Boyle, Leonard Harris","Suffering from insomnia, disturbed loner Travis Bickle takes a job as a New York City cabbie, haunting the streets nightly, growing increasingly detached from reality as he dreams of cleaning up the filthy city.",posters/Taxi_Driver_1976.jpg,Movie,https://www.cinematerial.com/movies/taxi-driver-i75314
The Hunger Games: Mockingjay - Part 1,2014,65 / 100,"Thriller, Science Fiction, Adventure","Francis Lawrence, Danny Strong, Peter Craig, Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Woody Harrelson, Elizabeth Banks, Julianne Moore","After surviving the Quarter Quell, Katniss finds herself in the hidden stronghold of District 13, where the rebellion against the Capitol is gaining momentum. Struggling with the weight of becoming the symbol of resistance, she must navigate fragile alliances while trying to protect those she loves. As propaganda battles rage and Panem moves closer to full-scale war, Katniss is forced to confront the true cost of revolution.",posters/The_Hunger_Games_Mockingjay_-_Part_1_2014.jpg,Movie,https://www.cinematerial.com/movies/the-hunger-games-mockingjay-part-1-i1951265
Django Unchained,2012,88 / 100,"Drama, Western","Quentin Tarantino, Quentin Tarantino, Jamie Foxx, Christoph Waltz, Leonardo DiCaprio, Kerry Washington, Samuel L. Jackson, Walton Goggins","With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.",posters/Django_Unchained_2012.jpg,Movie,https://www.cinematerial.com/movies/django-unchained-i1853728
